OBJECTID_1;FID_new;max;sum;vuosi;Id
;5677;1;10206;2020;0
;5677;1;412;2019;0
;5676;1;1513;2011;0
;5676;1;6035;2020;0
;5675;1;10566;2012;0
;5675;1;13209;2013;0
;5675;1;14619;2020;0
;5674;1;106;2011;0
;5674;1;550;2020;0
;5673;1;12619;2011;0
;5673;1;10573;2013;0
;5673;1;10694;2020;0
;5672;1;1537;2011;0
;5672;1;2011;2013;0
;5672;1;2773;2020;0
;5671;1;570;2011;0
;5671;1;841;2013;0
;5671;1;1992;2020;0
;5671;1;298;2011;0
;5671;1;400;2013;0
;5671;1;550;2020;0
;5670;1;5052;2012;0
;5669;1;1280;2012;0
;5668;1;2288;2017;0
;5667;1;321;2012;0
;5667;1;352;2014;0
;5667;;;2017;0
;5667;1;516;2020;0
;5666;1;15694;2017;0
;5666;1;14891;2017;0
;5666;1;14858;2019;0
;5665;1;8063;2012;0
;5665;1;7116;2016;0
;5665;;;2020;0
;5664;1;800;2012;0
;5664;1;1183;2016;0
;5664;;;2017;0
;5663;1;406;2011;0
;5663;1;1457;2014;0
;5663;1;1687;2020;0
;5662;1;3552;2014;0
;5662;1;3964;2020;0
;5661;1;23518;2014;0
;5661;1;24923;2020;0
;5660;1;6054;2014;0
;5660;1;6717;2020;0
;5659;1;551;2011;0
;5659;1;281;2014;0
;5659;1;330;2020;0
;5658;1;28150;2011;0
;5658;1;22032;2014;0
;5658;;;2020;0
;5657;1;6879;2011;0
;5657;1;6032;2014;0
;5656;1;2223;2011;0
;5656;1;2077;2014;0
;5656;;;2018;0
;5655;1;4000;2014;0
;5655;1;2058;2016;0
;5655;1;2346;2020;0
;5654;1;2831;2014;0
;5654;1;3032;2016;0
;5654;1;3350;2020;0
;5653;1;2903;2013;0
;5653;1;2521;2014;0
;5653;1;3105;2020;0
;5652;1;2375;2012;0
;5652;1;2609;2016;0
;5652;1;2517;2020;0
;5652;1;2419;2018;0
;5651;1;2318;2012;0
;5651;1;3263;2016;0
;5651;1;1698;2020;0
;5650;1;2983;2012;0
;5650;1;4290;2016;0
;5650;1;4899;2020;0
;5649;;;2012;0
;5649;;;2016;0
;5649;1;3;2020;0
;5648;1;3703;2012;0
;5648;1;4903;2016;0
;5648;1;5188;2020;0
;5647;1;547;2012;0
;5647;1;1789;2016;0
;5647;1;1913;2020;0
;5646;1;372;2012;0
;5646;1;116;2016;0
;5646;1;176;2020;0
;5645;1;1023;2012;0
;5645;1;1854;2016;0
;5645;1;1912;2020;0
;5644;1;7322;2010;0
;5644;1;5715;2016;0
;5643;1;76;2012;0
;5643;1;600;2012;0
;5643;1;539;2014;0
;5643;1;2044;2014;0
;5643;1;169;2016;0
;5643;1;912;2016;0
;5643;;;2020;0
;5642;1;3669;2010;0
;5642;1;2933;2016;0
;5642;;;2021;0
;5641;1;632;2014;0
;5640;1;11431;2014;0
;5639;1;1684;2014;0
;5639;1;219;2014;0
;5638;1;9631;2010;0
;5638;1;6329;2016;0
;5638;1;6905;2021;0
;5637;1;6413;2014;0
;5636;1;1899;2014;0
;5635;1;7491;2014;0
;5634;1;6312;2010;0
;5634;1;5507;2014;0
;5633;1;9600;2014;0
;5632;1;8355;2014;0
;5631;1;3960;2010;0
;5631;1;533;2016;0
;5631;1;1049;2021;0
;5631;1;1484;2014;0
;5630;1;391;2010;0
;5630;1;416;2014;0
;5629;1;8248;2010;0
;5629;1;12971;2014;0
;5628;1;5158;2010;0
;5628;1;3649;2014;0
;5628;1;4554;2021;0
;5627;1;3320;2010;0
;5627;1;2715;2014;0
;5626;1;10222;2010;0
;5626;1;9404;2014;0
;5626;1;8084;2021;0
;5625;1;3409;2010;0
;5625;1;2792;2014;0
;5624;1;6443;2010;0
;5624;1;4058;2014;0
;5623;1;1689;2010;0
;5623;1;1706;2014;0
;5622;1;2659;2010;0
;5622;1;2642;2014;0
;5622;1;2446;2018;0
;5621;1;1063;2010;0
;5621;1;1053;2014;0
;5621;1;1212;2018;0
;5620;1;9099;2010;0
;5620;1;10068;2021;0
;5619;1;9312;2010;0
;5619;1;10959;2018;0
;5618;1;2336;2010;0
;5618;;;2021;0
;5617;1;6968;2010;0
;5617;;;2018;0
;5617;1;18387;2010;0
;5617;1;28239;2010;0
;5616;1;4085;2010;0
;5616;1;8643;2018;0
;5616;1;8052;2015;0
;5615;1;1101;2011;0
;5615;1;992;2014;0
;5614;1;5355;2011;0
;5614;1;4903;2014;0
;5613;1;1344;2011;0
;5613;1;1162;2014;0
;5612;1;4118;2011;0
;5612;1;1936;2015;0
;5612;1;2132;2021;0
;5611;1;1400;2011;0
;5611;1;1328;2015;0
;5611;1;1364;2021;0
;5610;1;943;2012;0
;5610;1;858;2013;0
;5610;;;2018;0
;5610;;;2021;0
;5609;1;12706;2013;0
;5609;1;12631;2015;0
;5609;1;13359;2021;0
;5608;1;716;2013;0
;5608;1;1034;2015;0
;5608;1;480;2013;0
;5608;1;523;2015;0
;5607;1;3352;2012;0
;5607;1;2739;2018;0
;5606;1;2215;2012;0
;5606;1;2259;2018;0
;5605;1;327;2018;0
;5604;1;2013;2013;0
;5604;1;1847;2015;0
;5604;1;2057;2018;0
;5603;1;22812;2013;0
;5603;1;24052;2015;0
;5603;1;22978;2018;0
;5602;1;2558;2013;0
;5602;1;3394;2018;0
;5601;1;640;2018;0
;5600;1;528;2018;0
;5599;1;3434;2012;0
;5599;1;3646;2018;0
;5598;1;1931;2012;0
;5598;1;2157;2018;0
;5598;1;7789;2012;0
;5598;1;8992;2018;0
;5597;1;786;2018;0
;5596;1;370;2011;0
;5596;1;118;2015;0
;5596;1;192;2020;0
;5595;1;5189;2015;0
;5595;1;5919;2020;0
;5594;1;786;2010;0
;5594;1;3060;2014;0
