OBJECTID_1;FID_new;max;sum;vuosi
3988333;1830;1;1045;2011
3988333;1830;1;1367;2019
3988333;1830;1;718;2020
3988326;1829;1;502;2011
3988326;1829;1;2156;2019
3988326;1829;;;2020
3965216;1828;1;724;2011
3965216;1828;;;2013
3965216;1828;;;2015
3965216;1828;1;1384;2019
3964837;1827;1;344;2011
3964837;1827;;;2015
3964837;1827;1;1512;2019
3964835;1826;1;538;2011
3964835;1826;;;2015
3964835;1826;1;2480;2019
3964831;1825;1;38;2011
3964831;1825;;;2015
3964831;1825;1;78;2019
3964828;1824;1;43;2011
3964828;1824;;;2015
3964828;1824;1;155;2019
3964764;1823;1;547;2011
3964764;1823;;;2015
3964764;1823;1;828;2019
3964717;1822;1;88;2011
3964717;1822;;;2015
3964717;1822;1;135;2019
3963050;1821;1;321;2011
3963050;1821;1;570;2019
3963041;1820;1;23;2011
3963041;1820;;;2019
3963011;1819;1;2441;2011
3963011;1819;1;5232;2019
3962020;1818;1;1359;2011
3962020;1818;1;1229;2019
3951362;1817;1;149;2011
3951362;1817;1;566;2013
3951362;1817;1;730;2019
3950984;1816;1;127;2011
3950984;1816;;;2013
3950984;1816;1;60;2019
3950546;1815;1;97;2011
3950546;1815;1;337;2013
3950546;1815;1;1229;2019
3948196;1814;1;234;2011
3948196;1814;1;461;2013
3948196;1814;1;522;2019
3948157;1813;1;1368;2011
3948157;1813;1;3591;2013
3948157;1813;1;1736;2019
3948154;1812;1;2420;2011
3948154;1812;1;4409;2013
3948154;1812;1;4636;2019
3947321;1811;1;507;2011
3947321;1811;;;2013
3947321;1811;1;1129;2019
3944386;1810;1;229;2011
3944386;1810;1;986;2013
3944386;1810;1;687;2019
3940070;1809;1;2868;2010
3940070;1809;1;2520;2013
3940041;1808;1;1140;2010
3940041;1808;1;1085;2013
3936728;1807;1;271;2011
3936728;1807;1;787;2019
3936722;1806;;;2011
3936722;1806;;;2019
3936690;1805;1;1571;2011
3936690;1805;1;2728;2019
3892516;1804;1;92;2008
3892516;1804;1;100;2018
3892516;1804;1;88;2019
3892516;1804;;;2021
3892507;1803;1;2430;2008
3892507;1803;1;175;2018
3892507;1803;1;68;2019
3892507;1803;;;2021
3888721;1802;1;1835;2010
3888721;1802;1;1668;2015
3888721;1802;1;1753;2016
3888465;1801;1;491;2010
3888465;1801;1;635;2015
3887843;1800;1;1130;2010
3887843;1800;1;1148;2015
3887843;1800;1;1148;2016
3886534;1799;1;759;2010
3886534;1799;1;910;2016
3885730;1798;1;2304;2009
3885730;1798;1;2680;2018
3885730;1798;1;2668;2016
3885728;1797;1;206;2009
3885728;1797;1;249;2018
3885728;1797;1;239;2016
3885727;1796;1;206;2009
3885727;1796;1;249;2018
3885727;1796;1;239;2016
3885446;1795;1;1600;2009
3885446;1795;1;208;2018
3885446;1795;;;2021
3885437;1794;1;134;2009
3885437;1794;1;58;2018
3885437;1794;;;2021
3880397;1793;1;1568;2009
3880397;1793;1;354;2018
3880397;1793;1;311;2019
3877489;1792;1;230;2009
3877489;1792;1;50;2018
3875103;1791;1;1103;2009
3875103;1791;1;1373;2018
3875102;1790;1;1103;2009
3875102;1790;1;1373;2018
3873316;1789;1;1608;2008
3873316;1789;1;1707;2015
3873316;1789;;;2019
3873315;1788;1;2406;2008
3873315;1788;1;2500;2015
3873315;1788;;;2019
3873314;1787;1;1054;2008
3873314;1787;1;1113;2015
3873314;1787;;;2019
3872375;1786;1;1635;2008
3872375;1786;1;2060;2015
3872375;1786;;;2019
3872375;1786;;;2020
3872026;1785;1;1023;2008
3872026;1785;1;1235;2015
3870418;1784;1;1131;2011
3870418;1784;;;2015
3870418;1784;1;937;2019
3870418;1784;1;927;2019
3869436;1783;1;2437;2008
3869436;1783;1;2422;2010
3869436;1783;1;579;2019
3869436;1783;1;549;2019
3868589;1782;1;71;2011
3868589;1782;;;2013
3868589;1782;1;162;2019
3868589;1782;1;158;2019
3868587;1781;1;752;2011
3868587;1781;;;2013
3868587;1781;1;278;2019
3868587;1781;1;265;2019
3868585;1780;1;1536;2011
3868585;1780;;;2013
3868585;1780;1;630;2019
3868585;1780;1;610;2019
3868578;1779;1;1617;2011
3868578;1779;;;2013
3868578;1779;1;1353;2019
3868578;1779;1;1334;2019
3868542;1778;1;997;2011
3868542;1778;;;2013
3868542;1778;1;161;2019
3868542;1778;1;155;2019
3867245;1777;1;1456;2011
3867245;1777;1;1410;2019
3867245;1777;1;1403;2019
3866686;1776;1;166;2011
3866686;1776;1;72;2019
3866686;1776;1;65;2019
3866684;1775;1;7330;2011
3866684;1775;1;3177;2019
3866684;1775;1;3017;2019
3864479;1774;1;1510;2011
3864479;1774;1;183;2019
3864479;1774;1;181;2019
3864471;1773;1;2702;2011
3864471;1773;1;2983;2019
3864471;1773;1;2935;2019
3863866;1772;1;2921;2011
3863866;1772;1;489;2019
3863866;1772;1;466;2019
3863865;1771;1;2921;2011
3863865;1771;1;489;2019
3863865;1771;1;466;2019
3863517;1770;1;2193;2008
3863517;1770;1;2337;2010
3863517;1770;1;692;2019
3863517;1770;1;662;2019
3863516;1769;1;1352;2008
3863516;1769;1;1387;2010
3863516;1769;1;71;2019
3863516;1769;1;65;2019
3863359;1768;1;135;2008
3863359;1768;1;136;2010
3863359;1768;1;21;2019
3863359;1768;1;20;2019
3863022;1767;1;3655;2011
3863022;1767;1;622;2019
3863022;1767;1;562;2019
3862827;1766;1;749;2011
3862827;1766;1;708;2019
3862827;1766;1;683;2019
3862820;1765;1;6903;2011
3862820;1765;1;1860;2019
3862820;1765;1;1761;2019
3862565;1764;1;2400;2011
3862565;1764;1;1027;2019
3862565;1764;1;1000;2019
3862289;1763;1;1362;2008
3862289;1763;1;1347;2010
3862289;1763;1;1337;2011
3862289;1763;1;693;2019
3862289;1763;1;659;2019
3852827;1762;1;6958;2011
3852827;1762;1;7220;2013
3852827;1762;1;3326;2019
3846886;1761;1;5432;2008
3846886;1761;1;5495;2015
3846886;1761;;;2020
3846886;1761;1;60;2021
3841282;1760;1;1733;2008
3841282;1760;;;2013
3841282;1760;1;768;2019
3841282;1760;1;731;2019
3841282;1760;1;586;2021
3836106;1759;1;1547;2011
3836106;1759;1;141;2019
3836106;1759;1;136;2019
3836105;1758;1;2558;2011
3836105;1758;1;1674;2019
3836105;1758;1;1636;2019
3836104;1757;1;1010;2011
3836104;1757;1;298;2019
3836104;1757;1;249;2019
3836103;1756;1;6163;2011
3836103;1756;1;1575;2019
3836103;1756;1;1529;2019
3835702;1755;1;1098;2011
3835702;1755;1;1123;2015
3835702;1755;1;734;2019
3835702;1755;1;719;2019
3829849;1754;1;973;2009
3829849;1754;1;1478;2013
3829849;1754;1;1143;2021
3829848;1753;1;973;2009
3829848;1753;1;1478;2013
3829848;1753;1;1143;2021
3826500;1752;1;919;2008
3826500;1752;1;1257;2013
3826500;1752;1;993;2021
3826499;1751;1;734;2008
3826499;1751;1;924;2013
3826499;1751;1;738;2021
3824772;1750;1;2241;2008
3824772;1750;1;2230;2013
3824772;1750;1;2254;2015
3824772;1750;1;936;2021
3823980;1749;1;8835;2008
3823980;1749;1;10169;2013
3823980;1749;1;10509;2015
3823980;1749;1;4594;2021
3822215;1748;1;1697;2008
3822215;1748;;;2013
3822215;1748;1;3101;2015
3822215;1748;1;2692;2021
3821984;1747;1;3170;2008
3821984;1747;1;3199;2013
3821984;1747;1;3365;2015
3821984;1747;1;1766;2021
3817629;1746;1;1294;2008
3817629;1746;1;1375;2015
3817629;1746;;;2020
3817629;1746;;;2021
3815221;1745;1;3906;2008
3815221;1745;1;4008;2015
3815221;1745;1;4013;2020
3815221;1745;;;2021
3813012;1744;1;60;2008
3813012;1744;1;61;2015
3813012;1744;1;33;2020
3811610;1743;1;3234;2009
