max;sum;vuosi;ASTA_ID
1;927;2009;212
1;4382;2009;214
1;275;2015;216
1;2029;2015;210
1;4360;2015;215
1;932;2015;211
1;932;2015;213
1;2029;2015;209
1;932;2015;212
1;4360;2015;214
;;2021;216
;;2021;210
1;9;2021;215
;;2021;211
;;2021;213
;;2021;209
;;2021;212
1;9;2021;214
1;1237;2009;217
1;1236;2015;217
1;1077;2021;217
1;1572;2009;218
1;1520;2015;218
;;2019;218
1;10;2021;218
1;1474;2009;219
;;2015;219
;;2019;219
;;2021;219
1;4763;2009;220
1;102;2019;220
1;150;2021;220
1;1630;2008;221
;;2015;221
1;458;2019;221
1;515;2021;221
1;94;2008;222
1;88;2009;222
;;2015;222
;;2019;222
;;2021;222
1;1446;2009;224
1;2449;2009;223
1;1606;2015;224
1;2724;2015;223
1;1101;2019;224
1;2765;2019;223
1;1707;2008;232
1;282;2008;225
1;251;2008;226
1;1059;2008;231
1;902;2019;232
1;282;2019;225
1;266;2019;226
1;504;2019;231
1;858;2021;232
1;286;2021;225
1;261;2021;226
1;517;2021;231
1;832;2008;230
1;857;2008;227
1;832;2008;229
1;857;2008;228
1;1019;2015;230
1;1172;2015;227
1;1019;2015;229
1;1172;2015;228
1;339;2019;230
1;498;2019;227
1;339;2019;229
1;498;2019;228
1;1027;2008;240
1;891;2008;233
1;231;2008;234
1;1503;2008;235
1;1503;2008;236
1;591;2008;237
1;591;2008;238
1;5087;2008;239
1;1095;2019;240
1;527;2019;233
1;77;2019;234
1;160;2019;235
1;160;2019;236
1;62;2019;237
1;62;2019;238
1;2112;2019;239
;;2021;240
1;590;2021;233
1;97;2021;234
;;2021;235
;;2021;236
;;2021;237
;;2021;238
;;2021;239
1;3045;2008;241
1;1128;2019;241
1;1731;2008;242
1;1050;2015;242
1;951;2019;242
1;1843;2008;244
1;2159;2008;243
1;1914;2019;244
1;1646;2019;243
1;1055;2008;248
1;1055;2008;245
1;1055;2008;247
1;1055;2008;246
1;955;2019;248
1;955;2019;245
1;955;2019;247
1;955;2019;246
1;1910;2008;249
1;1327;2019;249
1;1762;2008;250
1;1032;2019;250
1;5331;2008;251
1;1416;2019;251
1;1557;2008;260
1;2367;2008;252
1;2935;2008;253
;;2013;260
;;2013;252
;;2013;253
1;1609;2019;260
1;88;2019;252
1;932;2019;253
1;1654;2008;254
;;2013;254
1;492;2019;254
1;8365;2008;255
1;8867;2013;255
1;8118;2019;255
1;3348;2008;259
1;3348;2008;258
1;1035;2008;256
1;1035;2008;257
1;3299;2013;259
1;3299;2013;258
1;1313;2013;256
1;1313;2013;257
1;79;2019;259
1;79;2019;258
1;239;2019;256
1;239;2019;257
1;2113;2009;270
1;2103;2009;267
1;6393;2009;265
1;333;2009;263
1;7722;2009;261
1;6393;2009;266
1;6393;2009;264
1;2103;2009;268
1;7722;2009;262
;;2013;270
;;2013;267
;;2013;265
;;2013;263
;;2013;261
;;2013;266
;;2013;264
;;2013;268
;;2013;262
1;2117;2015;270
1;12;2015;267
1;968;2015;265
1;347;2015;263
1;700;2015;261
1;968;2015;266
1;968;2015;264
1;12;2015;268
1;700;2015;262
1;1493;2021;270
1;60;2021;267
1;2410;2021;265
1;76;2021;263
1;2032;2021;261
1;2410;2021;266
1;2410;2021;264
1;60;2021;268
1;2032;2021;262
1;1505;2009;269
1;40;2015;269
1;662;2021;269
1;6736;2009;271
;;2013;271
1;6892;2015;271
;;2019;271
1;3138;2021;271
1;3036;2012;272
1;3426;2013;272
;;2015;272
1;253;2021;272
1;4422;2012;277
1;2265;2012;276
1;2265;2012;275
1;2606;2012;274
1;2606;2012;273
1;4552;2013;277
1;1765;2013;276
1;1765;2013;275
1;2029;2013;274
1;2029;2013;273
;;2015;277
;;2015;276
;;2015;275
;;2015;274
;;2015;273
1;867;2016;276
1;867;2016;275
1;1155;2016;274
1;1155;2016;273
1;1934;2021;277
1;898;2021;276
1;898;2021;275
1;1186;2021;274
1;1186;2021;273
1;2275;2012;281
1;3238;2012;279
1;453;2012;278
1;3609;2012;280
1;2472;2013;281
1;4300;2013;279
1;444;2013;278
1;3814;2013;280
1;652;2021;281
1;5133;2021;279
1;59;2021;278
1;4389;2021;280
1;2411;2009;282
1;2944;2016;282
1;511;2010;1265
1;2245;2010;284
1;2245;2010;285
1;2245;2010;1262
1;30;2010;1259
1;2245;2010;1263
1;2245;2010;1264
1;30;2010;1260
1;30;2010;1261
1;2245;2010;283
1;620;2016;1265
1;2410;2016;284
1;2410;2016;285
1;2410;2016;1262
1;30;2016;1259
