max_total;sum_total;vuosi;ASTA_ID
1;83;2010;287
1;872;2010;279
1;877;2016;279
1;776;2016;286
1;776;2016;283
1;776;2016;285
1;2335;2016;282
1;2335;2016;281
1;776;2016;284
1;85;2016;287
1;7595;2016;289
1;10123;2016;288
1;7983;2016;312
1;12440;2016;292
1;2868;2016;291
1;7983;2016;311
1;872;2016;308
1;4990;2016;290
1;6823;2016;293
1;167;2010;307
1;6316;2010;296
1;6316;2010;295
1;710;2010;301
1;710;2010;300
1;1773;2010;303
1;1773;2010;305
1;710;2010;299
1;6316;2010;294
1;1773;2010;304
1;6316;2010;297
1;167;2010;306
1;1773;2010;302
1;710;2010;298
;;2015;307
;;2015;296
;;2015;295
;;2015;301
;;2015;300
;;2015;303
;;2015;305
;;2015;299
;;2015;294
;;2015;304
;;2015;297
;;2015;306
;;2015;302
;;2015;298
1;161;2016;307
1;6398;2016;296
1;6398;2016;295
1;757;2016;301
1;757;2016;300
1;1914;2016;303
1;1914;2016;305
1;757;2016;299
1;6398;2016;294
1;1914;2016;304
1;6398;2016;297
1;161;2016;306
1;1914;2016;302
1;757;2016;298
1;5201;2010;2123
1;186;2010;309
1;186;2010;310
1;4716;2010;313
1;15195;2016;310
1;15195;2016;309
1;4775;2016;313
1;195;2016;309
1;195;2016;310
1;14248;2010;2124
1;16516;2010;2118
1;12601;2010;2123
1;2431;2010;311
1;2431;2010;312
1;16483;2016;2118
1;2404;2016;311
1;2404;2016;312
1;622;2010;315
1;528;2010;314
1;629;2016;315
1;537;2016;314
1;87;2010;2124
1;2501;2010;316
1;732;2010;2122
1;648;2010;2119
1;2446;2016;316
1;366;2008;317
1;390;2015;317
;;2020;317
1;375;2021;317
1;1013;2008;319
1;61;2008;318
1;1035;2013;319
1;61;2013;318
1;1035;2021;319
1;61;2021;318
1;7133;2008;320
1;7138;2015;320
1;7078;2020;320
;;2021;320
1;10751;2008;323
1;1053;2008;321
1;10751;2008;322
1;10744;2013;323
1;1053;2013;321
1;10744;2013;322
1;10924;2021;323
1;1068;2021;321
1;10924;2021;322
1;7633;2008;329
1;997;2008;325
1;1803;2008;327
1;452;2008;326
1;963;2008;328
1;5292;2008;324
1;7669;2013;329
1;939;2013;325
1;1802;2013;327
1;452;2013;326
1;1032;2013;328
1;5437;2013;324
1;7565;2021;329
1;914;2021;325
1;1801;2021;327
1;452;2021;326
1;1036;2021;328
1;5081;2021;324
1;173;2008;335
1;3999;2008;331
1;7269;2008;330
1;1416;2008;334
1;182;2015;335
1;4033;2015;331
1;7358;2015;330
1;1444;2015;334
;;2020;335
;;2020;331
;;2020;330
;;2020;334
1;181;2021;335
1;4018;2021;331
1;7322;2021;330
1;1443;2021;334
1;9481;2008;332
1;10040;2013;332
;;2015;332
;;2019;332
1;10055;2021;332
1;8701;2008;333
1;8590;2013;333
;;2019;333
1;8672;2021;333
1;3842;2008;336
1;3881;2015;336
1;3882;2018;336
1;3879;2020;336
1;7307;2008;337
1;7263;2013;337
1;7288;2015;337
1;7245;2021;337
;;2008;338
1;560;2008;338
;;2015;338
1;588;2015;338
;;2018;338
1;575;2018;338
;;2020;338
1;591;2020;338
1;4574;2008;354
1;1297;2008;344
1;2860;2008;340
1;2628;2008;346
1;4574;2008;351
1;2860;2008;339
1;2506;2008;349
1;1297;2008;342
1;2506;2008;347
1;2506;2008;348
1;2628;2008;345
1;4574;2008;352
1;4574;2008;353
1;2860;2008;341
1;1297;2008;343
1;2506;2008;350
1;4580;2015;354
1;1322;2015;344
1;2862;2015;340
1;2858;2015;346
1;4580;2015;351
1;2862;2015;339
1;2513;2015;349
1;1322;2015;342
1;2513;2015;347
1;2513;2015;348
1;2858;2015;345
1;4580;2015;352
1;4580;2015;353
1;2862;2015;341
1;1322;2015;343
1;2513;2015;350
1;4586;2018;354
1;1322;2018;344
1;2861;2018;340
1;2875;2018;346
1;4586;2018;351
1;2861;2018;339
1;2507;2018;349
1;1322;2018;342
1;2507;2018;347
1;2507;2018;348
1;2875;2018;345
1;4586;2018;352
1;4586;2018;353
1;2861;2018;341
1;1322;2018;343
1;2507;2018;350
1;4585;2020;354
1;1315;2020;344
1;2853;2020;340
1;2884;2020;346
1;4585;2020;351
1;2853;2020;339
1;2513;2020;349
1;1315;2020;342
1;2513;2020;347
1;2513;2020;348
1;2884;2020;345
1;4585;2020;352
1;4585;2020;353
1;2853;2020;341
1;1315;2020;343
1;2513;2020;350
1;2285;2008;355
;;2013;355
1;2316;2019;355
1;2316;2021;355
1;1090;2008;356
1;1123;2011;356
1;1145;2015;356
1;1136;2021;356
1;4121;2011;361
1;8962;2011;360
1;1330;2011;357
1;2683;2011;359
1;4193;2015;361
1;8969;2015;360
1;1332;2015;357
1;2732;2015;359
1;4173;2019;361
1;8952;2019;360
1;1332;2019;357
1;2725;2019;359
1;4105;2019;361
1;8949;2019;360
1;1331;2019;357
1;2709;2019;359
;;2021;361
;;2021;360
;;2021;357
;;2021;359
1;18679;2008;358
1;19711;2015;358
1;11613;2015;358
1;19386;2020;358
1;4195;2015;361
1;2733;2015;359
1;8964;2015;360
1;4564;2011;362
;;2013;362
1;4535;2019;362
1;4499;2019;362
;;2021;362
1;1121;2008;369
1;4756;2008;367
1;2930;2008;366
1;2660;2008;368
1;4093;2008;363
1;1146;2015;369
1;4765;2015;367
1;2931;2015;366
1;2726;2015;368
1;4134;2015;363
1;1145;2020;369
1;4759;2020;367
1;2933;2020;366
1;2730;2020;368
1;3990;2020;363
;;2008;365
;;2008;364
1;2023;2011;365
1;2023;2011;364
1;2157;2015;365
1;2157;2015;364
1;11048;2011;373
1;1302;2011;370
1;11048;2011;372
;;2013;373
;;2013;370
;;2013;372
1;11115;2019;373
1;1326;2019;370
1;11115;2019;372
1;10992;2019;373
1;10992;2019;372
1;2400;2011;371
1;2403;2019;371
1;2398;2019;371
1;5848;2008;378
1;20484;2008;376
1;20484;2008;375
1;20484;2008;374
1;20848;2013;376
1;20848;2013;374
1;20848;2013;375
1;5826;2015;378
1;20950;2015;376
1;20950;2015;375
1;20950;2015;374
1;5830;2018;378
1;20937;2018;376
1;20937;2018;375
1;20937;2018;374
1;5788;2020;378
1;17703;2020;376
1;17703;2020;375
1;17703;2020;374
1;5671;2011;377
1;5788;2015;377
1;5773;2019;377
1;5545;2019;377
1;39;2011;380
1;335;2011;379
1;39;2019;380
1;335;2019;379
1;3391;2008;391
1;12029;2008;388
1;12029;2008;389
1;3715;2008;381
1;4273;2008;386
1;3524;2015;391
1;12024;2015;388
1;12024;2015;389
1;3838;2015;381
1;4479;2015;386
1;6426;2011;395
1;5426;2011;385
1;8507;2011;383
1;8507;2011;384
1;8941;2011;382
1;6565;2019;395
1;5434;2019;385
1;8558;2019;383
1;8558;2019;384
1;9148;2019;382
1;6522;2019;395
1;5437;2019;385
1;8554;2019;383
1;8554;2019;384
1;9098;2019;382
1;6159;2008;394
1;1269;2008;392
1;13133;2008;387
1;6193;2015;394
1;1265;2015;392
1;13615;2015;387
1;5651;2020;394
1;1267;2020;392
1;13466;2020;387
1;1178;2008;390
1;1289;2015;390
;;2018;390
1;1281;2020;390
1;1251;2018;392
1;356;2011;397
1;2156;2011;393
1;2352;2011;396
;;2013;397
;;2013;393
;;2013;396
1;358;2019;397
1;2133;2019;393
1;2404;2019;396
1;361;2019;397
1;2031;2019;393
1;2396;2019;396
;;2015;395
1;10593;2011;399
1;10593;2011;398
1;10882;2019;399
1;10882;2019;398
1;10861;2019;399
1;10861;2019;398
1;3298;2008;401
1;4539;2008;400
1;3288;2015;401
1;4546;2015;400
;;2020;401
;;2020;400
1;4005;2008;401
1;3995;2015;401
;;2019;401
1;6151;2008;417
1;6145;2008;412
1;940;2008;404
1;940;2008;405
1;2169;2008;410
1;488;2008;403
1;480;2008;402
1;940;2008;406
1;1324;2008;407
1;6145;2008;411
1;568;2008;413
1;3044;2008;414
1;1324;2008;408
