OBJECTID_1;max;sum;vuosi;ASTA_ID
;1;1321;2018;86
;1;167;2018;82
;1;1321;2018;85
;1;167;2018;84
;1;167;2018;83
;1;2116;2021;87
;1;2116;2021;86
;1;208;2021;82
;1;2116;2021;85
;1;208;2021;84
;1;208;2021;83
;1;407;2009;93
;1;8744;2009;88
;1;704;2013;93
;1;9097;2013;88
;1;920;2021;93
;1;8333;2021;88
;1;1032;2009;99
;1;792;2009;89
;1;792;2009;90
;1;1513;2013;99
;1;622;2013;89
;1;622;2013;90
;;;2018;99
;;;2018;89
;;;2018;90
;1;1541;2021;99
;1;677;2021;89
;1;677;2021;90
;1;948;2009;94
;1;1803;2009;92
;1;1725;2018;94
;1;4691;2018;92
;1;630;2009;95
;;;2010;95
;1;187;2018;95
;1;214;2021;95
;1;1914;2009;7296
;1;3996;2009;96
;1;1820;2018;7296
;1;2518;2018;96
;;;2021;7296
;;;2021;96
;;;2009;100
;;;2010;102
;;;2010;101
;1;54;2010;100
;1;7781;2012;102
;1;7781;2012;101
;1;27;2012;100
;1;8999;2013;102
;1;8999;2013;101
;1;31;2013;100
;1;8978;2021;102
;1;8978;2021;101
;1;71;2021;100
;1;6516;2009;103
;;;2010;103
;1;5398;2018;103
;1;4782;2021;103
;1;4907;2009;7299
;1;1321;2009;104
;1;4907;2009;7298
;1;3731;2009;105
;1;9954;2018;7299
;1;1536;2018;104
;1;9954;2018;7298
;1;3585;2018;105
;1;8700;2021;7299
;1;1475;2021;104
;1;8700;2021;7298
;1;3459;2021;105
;1;537;2009;107
;1;2075;2009;106
;1;865;2018;107
;1;3487;2018;106
;1;659;2021;107
;1;2658;2021;106
;1;99;2009;118
;1;2063;2009;107
;1;1423;2018;118
;1;2102;2018;107
;;;2021;118
;1;1773;2021;107
;1;1084;2009;7305
;1;1131;2009;108
;1;1084;2009;7304
;1;2093;2009;7300
;1;403;2009;7302
;1;177;2009;122
;1;3953;2009;124
;1;403;2009;7303
;1;3953;2009;125
