max_total;sum_total;vuosi;ASTA_ID
;;2021;958
;;2021;955
;;2021;957
;;2009;33
1;724;2009;32
1;84;2009;31
1;1066;2009;29
1;84;2009;30
1;1066;2009;28
1;381;2017;33
1;5774;2017;32
1;84;2017;31
1;1258;2017;29
1;84;2017;30
1;1258;2017;28
1;342;2020;33
1;5614;2020;32
1;84;2020;31
1;1247;2020;29
1;84;2020;30
1;1247;2020;28
1;1073;2009;34
1;1116;2017;34
1;2608;2009;41
1;1078;2009;35
1;772;2009;37
1;1075;2009;36
1;152;2009;38
1;3301;2009;39
1;6093;2009;40
1;2607;2017;41
1;1079;2017;35
1;772;2017;37
1;1200;2017;36
1;152;2017;38
1;3302;2017;39
1;6092;2017;40
1;2596;2012;41
;;2012;39
1;6074;2012;40
1;225;2009;47
1;362;2009;42
1;337;2009;44
1;337;2009;45
1;1914;2009;46
1;362;2009;43
1;227;2012;47
1;362;2012;42
1;337;2012;44
1;337;2012;45
1;1958;2012;46
1;362;2012;43
1;226;2015;47
1;362;2015;42
1;337;2015;44
1;337;2015;45
1;1964;2015;46
1;362;2015;43
1;211;2019;47
1;350;2019;42
1;325;2019;44
1;325;2019;45
1;1922;2019;46
1;350;2019;43
1;912;2009;48
1;916;2012;48
1;5561;2009;55
1;105;2009;49
1;5561;2009;54
1;11414;2009;52
1;11414;2009;51
1;105;2009;50
1;11414;2009;53
1;3508;2015;55
1;88;2015;49
1;3508;2015;54
1;11178;2015;52
1;11178;2015;51
1;88;2015;50
1;11178;2015;53
1;5576;2017;55
1;105;2017;49
1;5576;2017;54
1;11498;2017;52
1;11498;2017;51
1;105;2017;50
1;11498;2017;53
1;2765;2009;59
1;4;2009;56
1;2765;2009;58
1;4;2009;57
1;2751;2015;59
1;4;2015;56
1;2751;2015;58
1;4;2015;57
1;2605;2019;59
1;4;2019;56
1;2605;2019;58
1;4;2019;57
1;2330;2009;60
1;2317;2015;60
1;2183;2019;60
1;467;2008;64
1;467;2008;63
1;4422;2008;62
1;4422;2008;61
1;466;2019;64
1;466;2019;63
1;4334;2019;62
1;4334;2019;61
1;1643;2008;65
;;2015;65
1;1625;2019;65
1;1901;2008;67
1;2531;2008;66
;;2015;67
;;2015;66
1;1865;2019;67
1;2612;2019;66
1;1483;2008;72
1;8026;2008;70
1;8026;2008;71
1;2240;2008;68
1;2240;2008;69
1;1504;2019;72
1;8410;2019;70
1;8410;2019;71
1;2251;2019;68
1;2251;2019;69
1;101;2010;73
1;102;2019;73
1;5112;2008;103
1;2889;2008;98
1;423;2008;83
1;2889;2008;95
1;2765;2008;87
1;2586;2008;90
1;584;2008;80
1;240;2008;93
1;2765;2008;88
1;240;2008;94
1;3064;2008;74
1;423;2008;85
1;2568;2008;75
1;584;2008;81
1;5112;2008;102
1;5112;2008;99
1;3420;2008;76
1;1858;2008;78
1;2586;2008;91
1;584;2008;79
1;584;2008;82
1;2765;2008;86
1;2586;2008;92
1;1329;2008;89
1;3420;2008;77
1;5112;2008;101
1;5112;2008;100
1;2889;2008;97
1;2889;2008;96
1;423;2008;84
1;1321;2011;103
1;760;2011;98
1;114;2011;83
1;760;2011;95
1;706;2011;87
1;685;2011;90
1;161;2011;80
1;80;2011;93
1;706;2011;88
1;80;2011;94
1;827;2011;74
1;114;2011;85
1;701;2011;75
1;161;2011;81
1;1321;2011;102
1;1321;2011;99
1;908;2011;76
1;503;2011;78
1;685;2011;91
1;161;2011;79
1;161;2011;82
1;706;2011;86
1;685;2011;92
1;353;2011;89
1;908;2011;77
1;1321;2011;101
1;1321;2011;100
1;760;2011;97
1;760;2011;96
1;114;2011;84
1;5003;2019;103
1;2638;2019;98
1;408;2019;83
1;2638;2019;95
1;2674;2019;87
1;2603;2019;90
1;582;2019;80
1;241;2019;93
1;2674;2019;88
1;241;2019;94
1;3021;2019;74
1;408;2019;85
1;2664;2019;75
1;582;2019;81
1;5003;2019;102
1;5003;2019;99
1;3311;2019;76
1;1774;2019;78
1;2603;2019;91
1;582;2019;79
1;582;2019;82
1;2674;2019;86
1;2603;2019;92
1;1298;2019;89
1;3311;2019;77
1;5003;2019;101
1;5003;2019;100
1;2638;2019;97
1;2638;2019;96
1;408;2019;84
1;322;2010;109
1;801;2010;106
1;322;2010;108
1;1425;2010;104
1;801;2010;107
1;3328;2010;105
;;2011;105
1;376;2011;104
1;321;2015;109
1;798;2015;106
1;321;2015;108
1;1428;2015;104
1;798;2015;107
1;3353;2015;105
1;320;2019;109
1;756;2019;106
1;320;2019;108
1;1354;2019;104
1;756;2019;107
1;3314;2019;105
1;531;2009;135
1;5578;2009;115
1;4643;2009;118
1;7158;2009;111
1;1896;2009;120
1;7158;2009;112
1;4451;2009;121
1;4643;2009;119
1;4050;2009;113
1;1028;2009;116
1;37;2009;110
1;4050;2009;114
1;1028;2009;117
1;577;2012;135
1;5558;2012;115
1;4658;2012;118
1;7159;2012;111
1;1888;2012;120
1;7159;2012;112
1;4453;2012;121
1;4658;2012;119
1;4045;2012;113
1;1041;2012;116
1;47;2012;110
