ASTA_ID;post_raster_id;vuosi;5m_sum;sum_total;Canopy _percent
128;10046;2020;;;0
129;10039;2010;2467;3288;75.0304136253041
129;10041;2012;9207;13062;70.4869085898025
129;10043;2013;9971;13243;75.2926074152382
129;10045;2020;;;0
130;10049;2010;3898;9501;41.0272602883907
130;10053;2012;4241;9758;43.461774953884
130;10057;2013;4860;9596;50.6461025427261
130;10061;2018;;;0
131;10065;2010;3347;5922;56.5180682201959
131;10071;2015;4695;6315;74.3467933491686
131;10074;2018;4939;6303;78.3595113438045
132;10068;2010;1044;1736;60.1382488479263
132;10070;2015;1448;1817;79.6917996697854
132;10077;2018;1559;1804;86.4190687361419
133;10078;2010;1739;3979;43.7044483538578
133;10079;2018;2325;3950;58.8607594936709
134;10066;2010;542;4455;12.1661054994388
134;10069;2015;1894;4894;38.7004495300368
134;10075;2018;2929;4788;61.1737677527151
135;10030;2010;96;117;82.051282051282
135;10034;2013;115;118;97.4576271186441
135;10037;2018;;;0
135;10081;2010;;;0
136;10067;2010;2741;5193;52.7825919507029
136;10076;2018;3472;5318;65.287702143663
136;10083;2015;2828;5329;53.0681178457497
137;10029;2010;1372;1739;78.8959171937895
137;10033;2013;1626;1769;91.9163369135105
137;10036;2018;;;0
137;10080;2010;;;0
138;10085;2010;2804;3881;72.2494202525122
138;10086;2018;3446;4039;85.3181480564496
139;10050;2010;7131;10140;70.3254437869822
139;10054;2012;;;0
139;10058;2013;5773;10190;56.6535819430815
139;10062;2018;;;0
139;10088;2010;;;0
140;10048;2010;4126;5117;80.6331835059605
140;10052;2012;;;0
140;10056;2013;3358;5051;66.481884775292
140;10060;2018;;;0
140;10087;2010;;;0
141;10064;2010;2307;7194;32.0683903252711
141;10073;2018;4719;7508;62.8529568460309
141;10084;2015;3931;7679;51.1915614012241
142;10063;2010;2307;7194;32.0683903252711
142;10072;2018;4719;7508;62.8529568460309
142;10082;2015;3931;7679;51.1915614012241
143;10090;2010;4164;5727;72.7082242011524
143;10093;2018;4274;5711;74.8380318683243
144;10096;2010;12324;12903;95.5126714717507
144;10099;2012;10700;12868;83.1520049735779
144;10102;2018;;;0
145;10097;2010;12324;12903;95.5126714717507
145;10100;2012;10700;12868;83.1520049735779
145;10103;2018;;;0
146;10095;2010;12324;12903;95.5126714717507
146;10098;2012;10700;12868;83.1520049735779
146;10101;2018;;;0
147;10104;2010;67;2677;2.50280164363093
147;10105;2010;;;0
147;10106;2015;404;2493;16.2053750501404
147;10107;2018;560;2481;22.571543732366
148;10109;2010;2169;3375;64.2666666666667
148;10111;2015;692;3147;21.9891960597394
148;10113;2018;1170;3313;35.3154240869303
149;10115;2010;11009;14306;76.9537257094925
149;10116;2010;1251;2645;47.296786389414
149;10117;2018;12720;14497;87.742291508588
149;10118;2018;1783;2737;65.144318597004
150;10110;2010;3849;5081;75.7528045660303
150;10114;2018;4860;5185;93.731918997107
150;10120;2015;1283;1570;81.7197452229299
150;10122;2015;3348;3624;92.3841059602649
151;10108;2010;3849;5081;75.7528045660303
151;10112;2018;4860;5185;93.731918997107
151;10119;2015;1283;1570;81.7197452229299
151;10121;2015;3348;3624;92.3841059602649
152;10126;2010;8161;9938;82.1191386596901
152;10128;2015;8261;9944;83.0752212389381
152;10132;2018;8575;9915;86.4851235501765
153;10125;2010;5625;7023;80.0939769329346
153;10127;2015;6086;7028;86.5964712578258
153;10131;2018;5815;7023;82.7993734871138
154;10124;2010;8547;22523;37.9478755050393
154;10130;2018;11504;22220;51.7731773177318
154;10134;2015;9552;22116;43.1904503526858
155;10123;2010;8547;22523;37.9478755050393
155;10129;2018;11504;22220;51.7731773177318
155;10133;2015;9552;22116;43.1904503526858
156;10091;2010;10498;17197;61.0455311973019
156;10094;2018;11528;17345;66.4629576246757
156;10136;2015;10284;16920;60.7801418439716
157;10138;2010;2404;3846;62.5065002600104
157;10140;2019;2328;3843;60.5776736924278
158;10137;2010;2404;3846;62.5065002600104
158;10139;2019;2328;3843;60.5776736924278
159;10141;2008;897;1816;49.3942731277533
159;10142;2013;;;0
159;10143;2015;520;1897;27.4117026884555
159;10144;2018;506;1898;26.6596417281349
159;10145;2020;744;1869;39.8073836276083
160;10146;2010;3077;4854;63.3910177173465
160;10147;2019;3401;4856;70.0370675453048
161;10151;2010;563;2756;20.4281567489115
161;10155;2020;2188;3029;72.2350610762628
162;10150;2010;1146;3780;30.3174603174603
162;10154;2020;3016;4023;74.9689286602038
163;10149;2010;1146;3780;30.3174603174603
163;10153;2020;3016;4023;74.9689286602038
164;10148;2010;4961;10573;46.9214035751442
164;10152;2020;8669;10932;79.2993047932675
164;10156;2019;8390;10999;76.2796617874352
165;10157;2008;1957;6057;32.3097242859501
165;10158;2015;2692;6806;39.5533352923891
165;10159;2020;3422;5945;57.5609756097561
166;10165;2008;10232;16799;60.9083874040121
166;10173;2015;10870;16916;64.2586899976354
166;10181;2020;13081;16354;79.9865476336065
167;10163;2008;3086;4566;67.5865089794131
167;10171;2015;3502;4837;72.4002480876576
167;10179;2020;3766;4820;78.1327800829876
168;10167;2008;3086;4566;67.5865089794131
168;10175;2015;3502;4837;72.4002480876576
168;10183;2020;3766;4820;78.1327800829876
169;10161;2008;3086;4566;67.5865089794131
169;10169;2015;3502;4837;72.4002480876576
169;10177;2020;3766;4820;78.1327800829876
170;10184;2010;1920;3065;62.6427406199021
170;10185;2019;2462;3071;80.1693259524585
171;10162;2008;4585;5378;85.2547415396058
171;10170;2015;4809;5518;87.1511417180138
171;10178;2020;4836;5447;88.7828162291169
172;10164;2008;4585;5378;85.2547415396058
172;10172;2015;4809;5518;87.1511417180138
172;10180;2020;4836;5447;88.7828162291169
173;10166;2008;4585;5378;85.2547415396058
173;10174;2015;4809;5518;87.1511417180138
173;10182;2020;4836;5447;88.7828162291169
174;10160;2008;3822;5728;66.7248603351955
174;10168;2015;3948;6134;64.3625692859472
174;10176;2020;4106;5797;70.8297395204416
175;10187;2010;498;5017;9.92625074745864
175;10189;2019;1676;5130;32.6705653021442
176;10186;2010;498;5017;9.92625074745864
176;10188;2019;1676;5130;32.6705653021442
177;10191;2008;925;1093;84.6294602012809
177;10194;2015;1040;1099;94.631483166515
177;10197;2020;;;0
178;10192;2008;820;1048;78.2442748091603
178;10195;2015;996;1055;94.4075829383886
178;10198;2020;;;0
179;10201;2010;991;2218;44.6798917944094
179;10206;2019;1391;2291;60.7158446093409
179;10211;2020;;;0
180;10203;2010;991;2218;44.6798917944094
180;10208;2019;1391;2291;60.7158446093409
180;10213;2020;;;0
181;10217;2009;856;865;98.9595375722543
181;10222;2018;856;862;99.3039443155452
181;10227;2019;864;865;99.8843930635838
182;10215;2009;1330;1336;99.5508982035928
182;10220;2018;1317;1336;98.5778443113772
182;10225;2019;1324;1336;99.1017964071856
183;10200;2010;4437;7181;61.78805180337
183;10205;2019;5698;7458;76.401179941003
183;10210;2020;;;0
184;10202;2010;4437;7181;61.78805180337
184;10207;2019;5698;7458;76.401179941003
184;10212;2020;;;0
185;10199;2010;4437;7181;61.78805180337
185;10204;2019;5698;7458;76.401179941003
185;10209;2020;;;0
186;10229;2010;1752;4879;35.9089977454396
186;10230;2020;;;0
187;10218;2009;8199;26494;30.9466294255303
187;10223;2018;9750;26472;36.8313689936537
187;10228;2019;7516;26838;28.0050674416872
188;10216;2009;8199;26494;30.9466294255303
188;10221;2018;9750;26472;36.8313689936537
188;10226;2019;7516;26838;28.0050674416872
189;10214;2009;467;4408;10.5943738656987
189;10219;2018;1273;4472;28.4660107334526
189;10224;2019;1296;4443;29.1694800810263
190;10234;2010;1240;1752;70.7762557077626
190;10238;2019;1546;1760;87.8409090909091
191;10239;2010;148;263;56.2737642585551
191;10240;2010;24;31;77.4193548387097
191;10241;2019;251;265;94.7169811320755
191;10242;2019;30;31;96.7741935483871
191;10243;2020;;;0
192;10233;2010;2546;12310;20.6823720552396
192;10237;2019;6416;12306;52.1371688607183
193;10232;2010;2546;12310;20.6823720552396
193;10236;2019;6416;12306;52.1371688607183
194;10231;2010;118;335;35.2238805970149
194;10235;2019;157;335;46.865671641791
195;10245;2010;12713;34294;37.0706245990552
195;10247;2019;15971;34783;45.91610844378
196;10244;2010;12713;34294;37.0706245990552
196;10246;2019;15971;34783;45.91610844378
197;10250;2010;3949;5032;78.4777424483307
